,customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,gender,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,gender_Male,InternetService_Fiber optic,InternetService_No
0,7590-VHVEG,1,0,Month-to-month,1,Electronic check,29.85,29.85,0,Female,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,0,0,0,1,0,0,0,0
1,5575-GNVDE,34,1,One year,0,Mailed check,56.95,1889.5,0,Male,0,0,0,No,DSL,Yes,No,Yes,No,No,No,1,0,0,0,1,1,0,0
2,3668-QPYBK,2,1,Month-to-month,1,Mailed check,53.85,108.15,1,Male,0,0,0,No,DSL,Yes,Yes,No,No,No,No,0,0,0,0,1,1,0,0
3,7795-CFOCW,45,0,One year,0,Bank transfer (automatic),42.3,1840.75,0,Male,0,0,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,1,0,0,0,0,1,0,0
4,9237-HQITU,2,1,Month-to-month,1,Electronic check,70.7,151.65,1,Female,0,0,0,No,Fiber optic,No,No,No,No,No,No,0,0,0,1,0,0,1,0
5,9305-CDSKC,8,1,Month-to-month,1,Electronic check,99.65,820.5,1,Female,0,0,0,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0,0,0,1,0,0,1,0
6,1452-KIOVK,22,1,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,Male,0,0,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,0,0,1,0,0,1,1,0
7,6713-OKOMC,10,0,Month-to-month,0,Mailed check,29.75,301.9,0,Female,0,0,0,No phone service,DSL,Yes,No,No,No,No,No,0,0,0,0,1,0,0,0
8,7892-POOKP,28,1,Month-to-month,1,Electronic check,104.8,3046.05,1,Female,0,1,0,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,0,0,0,1,0,0,1,0
9,6388-TABGU,62,1,One year,0,Bank transfer (automatic),56.15,3487.95,0,Male,0,0,1,No,DSL,Yes,Yes,No,No,No,No,1,0,0,0,0,1,0,0
10,9763-GRSKD,13,1,Month-to-month,1,Mailed check,49.95,587.45,0,Male,0,1,1,No,DSL,Yes,No,No,No,No,No,0,0,0,0,1,1,0,0
11,7469-LKBCI,16,1,Two year,0,Credit card (automatic),18.95,326.8,0,Male,0,0,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,0,0,1,0,1
12,8091-TTVAX,58,1,One year,0,Credit card (automatic),100.35,5681.1,0,Male,0,1,0,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1,0,1,0,0,1,1,0
13,0280-XJGEX,49,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,Male,0,0,0,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0,0,0,0,0,1,1,0
14,5129-JLPIS,25,1,Month-to-month,1,Electronic check,105.5,2686.05,0,Male,0,0,0,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,0,0,0,1,0,1,1,0
15,3655-SNQYZ,69,1,Two year,0,Credit card (automatic),113.25,7895.15,0,Female,0,1,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,0,1,1,0,0,0,1,0
16,8191-XWSZG,52,1,One year,0,Mailed check,20.65,1022.95,0,Female,0,0,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,0,0,1,0,0,1
17,9959-WOFKT,71,1,Two year,0,Bank transfer (automatic),106.7,7382.25,0,Male,0,0,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,0,1,0,0,0,1,1,0
18,4190-MFLUW,10,1,Month-to-month,0,Credit card (automatic),55.2,528.35,1,Female,0,1,1,No,DSL,No,No,Yes,Yes,No,No,0,0,1,0,0,0,0,0
19,4183-MYFRB,21,1,Month-to-month,1,Electronic check,90.05,1862.9,0,Female,0,0,0,No,Fiber optic,No,Yes,Yes,No,No,Yes,0,0,0,1,0,0,1,0
20,8779-QRDMV,1,0,Month-to-month,1,Electronic check,39.65,39.65,1,Male,1,0,0,No phone service,DSL,No,No,Yes,No,No,Yes,0,0,0,1,0,1,0,0
21,1680-VDCWW,12,1,One year,0,Bank transfer (automatic),19.8,202.25,0,Male,0,1,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,0,0,0,1,0,1
22,1066-JKSGK,1,1,Month-to-month,0,Mailed check,20.15,20.15,1,Male,0,0,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,0,1,1,0,1
23,3638-WEABW,58,1,Two year,1,Credit card (automatic),59.9,3505.1,0,Female,0,1,0,Yes,DSL,No,Yes,No,Yes,No,No,0,1,1,0,0,0,0,0
24,6322-HRPFA,49,1,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,Male,0,1,1,No,DSL,Yes,Yes,No,Yes,No,No,0,0,1,0,0,1,0,0
25,6865-JZNKO,30,1,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,Female,0,0,0,No,DSL,Yes,Yes,No,No,No,No,0,0,0,0,0,0,0,0
26,6467-CHFZW,47,1,Month-to-month,1,Electronic check,99.35,4749.15,1,Male,0,1,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,0,0,0,1,0,1,1,0
27,8665-UTDHZ,1,0,Month-to-month,0,Electronic check,30.2,30.2,1,Male,0,1,1,No phone service,DSL,No,Yes,No,No,No,No,0,0,0,1,0,1,0,0
28,5248-YGIJN,72,1,Two year,1,Credit card (automatic),90.25,6369.45,0,Male,0,1,0,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,0,1,1,0,0,1,0,0
29,8773-HHUOZ,17,1,Month-to-month,1,Mailed check,64.7,1093.1,1,Female,0,0,1,No,DSL,No,No,No,No,Yes,Yes,0,0,0,0,1,0,0,0
30,3841-NFECX,71,1,Two year,1,Credit card (automatic),96.35,6766.95,0,Female,1,1,0,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,0,1,1,0,0,0,1,0
31,4929-XIHVW,2,1,Month-to-month,1,Credit card (automatic),95.5,181.65,0,Male,1,1,0,No,Fiber optic,No,No,Yes,No,Yes,Yes,0,0,1,0,0,1,1,0
32,6827-IEAUQ,27,1,One year,0,Mailed check,66.15,1874.45,0,Female,0,1,1,No,DSL,Yes,Yes,Yes,Yes,No,No,1,0,0,0,1,0,0,0
33,7310-EGVHZ,1,1,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,Male,0,0,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,0,0,1,0,1
34,3413-BMNZE,1,1,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,Male,1,0,0,No,DSL,No,No,No,No,No,No,0,0,0,0,0,1,0,0
35,6234-RAAPL,72,1,Two year,0,Bank transfer (automatic),99.9,7251.7,0,Female,0,1,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,0,1,0,0,0,0,1,0
36,6047-YHPVI,5,1,Month-to-month,1,Electronic check,69.7,316.9,1,Male,0,0,0,No,Fiber optic,No,No,No,No,No,No,0,0,0,1,0,1,1,0
37,6572-ADKRS,46,1,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,Female,0,0,0,No,Fiber optic,No,No,Yes,No,No,No,0,0,1,0,0,0,1,0
38,5380-WJKOV,34,1,Month-to-month,1,Electronic check,106.35,3549.25,1,Male,0,0,0,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0,0,0,1,0,1,1,0
39,8168-UQWWF,11,1,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,Female,0,0,0,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0,0,0,0,0,0,1,0
40,8865-TNMNX,10,1,One year,0,Mailed check,49.55,475.7,0,Male,0,1,1,No,DSL,No,Yes,No,No,No,No,1,0,0,0,1,1,0,0
41,9489-DEDVP,70,1,Two year,1,Credit card (automatic),69.2,4872.35,0,Female,0,1,1,Yes,DSL,Yes,Yes,No,No,Yes,No,0,1,1,0,0,0,0,0
42,9867-JCZSP,17,1,One year,0,Mailed check,20.75,418.25,0,Female,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,0,0,1,0,0,1
43,4671-VJLCL,63,1,Two year,1,Credit card (automatic),79.85,4861.45,0,Female,0,0,0,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,0,1,1,0,0,0,0,0
44,4080-IIARD,13,1,Month-to-month,1,Electronic check,76.2,981.45,0,Female,0,1,0,Yes,DSL,Yes,Yes,No,Yes,Yes,No,0,0,0,1,0,0,0,0
45,3714-NTNFO,49,1,Month-to-month,1,Electronic check,84.5,3906.7,0,Female,0,0,0,Yes,Fiber optic,No,No,No,No,No,Yes,0,0,0,1,0,0,1,0
46,5948-UJZLF,2,1,Month-to-month,0,Mailed check,49.25,97,0,Male,0,0,0,No,DSL,No,Yes,No,No,No,No,0,0,0,0,1,1,0,0
47,7760-OYPDY,2,1,Month-to-month,1,Electronic check,80.65,144.15,1,Female,0,0,0,No,Fiber optic,No,No,No,No,Yes,No,0,0,0,1,0,0,1,0
48,7639-LIAYI,52,1,Two year,1,Credit card (automatic),79.75,4217.8,0,Male,0,0,0,Yes,DSL,Yes,No,No,Yes,Yes,Yes,0,1,1,0,0,1,0,0
49,2954-PIBKO,69,1,Two year,1,Credit card (automatic),64.15,4254.1,0,Female,0,1,1,Yes,DSL,Yes,No,Yes,Yes,No,No,0,1,1,0,0,0,0,0
50,8012-SOUDQ,43,1,Month-to-month,1,Electronic check,90.25,3838.75,0,Female,1,0,0,Yes,Fiber optic,No,Yes,No,No,Yes,No,0,0,0,1,0,0,1,0
51,9420-LOJKX,15,1,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,Female,0,0,0,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,0,0,1,0,0,0,1,0
52,6575-SUVOI,25,1,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,Female,1,1,0,Yes,DSL,Yes,No,No,Yes,Yes,No,0,0,1,0,0,0,0,0
53,7495-OOKFY,8,1,Month-to-month,1,Credit card (automatic),80.65,633.3,1,Female,1,1,0,Yes,Fiber optic,No,Yes,No,No,No,No,0,0,1,0,0,0,1,0
54,4667-QONEA,60,1,One year,1,Credit card (automatic),74.85,4456.35,0,Female,1,1,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes,1,0,1,0,0,0,0,0
55,1658-BYGOY,18,1,Month-to-month,1,Electronic check,95.45,1752.55,1,Male,1,0,0,Yes,Fiber optic,No,No,No,No,Yes,Yes,0,0,0,1,0,1,1,0
56,8769-KKTPH,63,1,One year,1,Credit card (automatic),99.65,6311.2,0,Female,0,1,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,1,0,1,0,0,0,1,0
57,5067-XJQFU,66,1,One year,1,Electronic check,108.45,7076.35,0,Male,1,1,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1,0,0,1,0,1,1,0
58,3957-SQXML,34,1,Two year,0,Credit card (automatic),24.95,894.3,0,Female,0,1,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,0,0,0,0,1
59,5954-BDFSG,72,1,Two year,1,Credit card (automatic),107.5,7853.7,0,Female,0,0,0,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,0,1,1,0,0,0,1,0
60,0434-CSFON,47,1,Month-to-month,1,Electronic check,100.5,4707.1,0,Female,0,1,0,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0,0,0,1,0,0,1,0
61,1215-FIGMP,60,1,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,Male,0,0,0,Yes,Fiber optic,No,Yes,No,No,Yes,No,0,0,0,0,0,1,1,0
62,0526-SXDJP,72,0,Two year,0,Bank transfer (automatic),42.1,2962,0,Male,0,1,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,0,1,0,0,0,1,0,0
63,0557-ASKVU,18,1,One year,1,Credit card (automatic),54.4,957.1,0,Female,0,1,1,No,DSL,No,No,Yes,Yes,No,No,1,0,1,0,0,0,0,0
64,5698-BQJOH,9,1,Month-to-month,0,Electronic check,94.4,857.25,1,Female,0,0,0,Yes,Fiber optic,No,No,No,No,Yes,Yes,0,0,0,1,0,0,1,0
65,5122-CYFXA,3,1,Month-to-month,1,Electronic check,75.3,244.1,0,Female,0,0,0,No,DSL,No,Yes,No,Yes,Yes,Yes,0,0,0,1,0,0,0,0
66,8627-ZYGSZ,47,1,One year,1,Electronic check,78.9,3650.35,0,Male,0,1,0,Yes,Fiber optic,No,Yes,No,No,No,No,1,0,0,1,0,1,1,0
